id,category,complexity,question,gold_answer
ISA-05,isa_hierarchy_reasoning,complex,"If we wanted to introduce an ISA hierarchy where Employee is specialized into Manager and Individual Contributor, how would this interact with the existing ReportsTo relationship? Would the specialization need to be total or partial, overlapping or disjoint?","Introducing an ISA hierarchy with Manager and Individual Contributor as subtypes of Employee would interact with ReportsTo in important ways. The specialization should be partial and overlapping. It must be partial because the top-level executive is neither a manager (in the sense of reporting to someone as a subordinate) nor simply an individual contributor — or alternatively, because new employees might not yet be classified. It should be overlapping because the current ReportsTo relationship allows an employee to simultaneously be a manager (having direct reports via hasDirectReport) and a subordinate (reporting to someone via reportsTo). If we made it disjoint, mid-level managers who both manage others and report to superiors could not exist in both subtypes. The ReportsTo relationship would then need refinement: the N-side (subordinate) would be constrained to Individual Contributor or Manager subtypes, while the 1-side (manager) would be constrained to the Manager subtype only."
PCI-01,participation_constraint_inference,simple,"What does total participation of Order in the PlacedBy relationship imply for orders that have no associated customer?","Total participation of Order in PlacedBy means that every instance of Order must participate in the PlacedBy relationship — that is, every order must be linked to exactly one customer. This implies that orphaned orders (orders with no associated customer) cannot exist in a valid database state. If a customer were deleted, any orders placed by that customer would either need to be reassigned to another customer or deleted as well. The constraint reflects the business rule that an order is meaningless without a customer who placed it."
PCI-02,participation_constraint_inference,simple,"The diagram shows that Customer has partial participation in PlacedBy. What does this mean for customers who have never placed an order?","Partial participation of Customer in PlacedBy means that a customer is not required to participate in any PlacedBy relationship instance. Customers who have never placed an order are perfectly valid in the database — the diagram note explicitly states 'some customers exist in the system without having placed any orders yet.' This models the real-world scenario where a company registers customers in the system before they make their first purchase. The asymmetry between total participation on Order and partial participation on Customer reflects that orders need customers, but customers do not need orders."
PCI-03,participation_constraint_inference,moderate,"Territory has total participation in the InRegion relationship. What would happen if a region were deleted — what does this constraint imply for the territories within it?","Total participation of Territory in InRegion means every territory must belong to exactly one region. If a region were deleted, all territories assigned to that region would violate the total participation constraint because they would no longer have an associated region. The database must prevent this situation through one of several mechanisms: cascading the delete to remove all territories in that region (which would further cascade to ServesTerritory assignments), reassigning the territories to another region before deletion, or simply rejecting the region deletion. The N:1 cardinality further constrains each territory to exactly one region, so reassignment rather than multi-region membership is the only option if the territories are to be preserved."
PCI-04,participation_constraint_inference,moderate,"OrderLine has total participation in both HasOrderLine and IncludesProduct. What are the combined implications of these two total participation constraints?","OrderLine has total participation in HasOrderLine (linking it to Order) and total participation in IncludesProduct (linking it to Product). Together, these mean that every order line must simultaneously belong to exactly one order and reference exactly one product — an order line cannot exist without both associations. This is consistent with OrderLine being a weak entity identified by the combination of its parent order and referenced product. If either the parent order or the referenced product were removed, the order line would violate one of its total participation constraints. In practice, deleting an order should cascade to its order lines, while deleting a product must be prevented if any order lines still reference it (or those historical order lines must be handled)."
PCI-05,participation_constraint_inference,complex,"Compare the participation constraints across all relationships involving Order: PlacedBy, HandledBy, ShippedBy, and HasOrderLine. Which are total and which are partial on the Order side, and what does this collectively tell us about the lifecycle of an order?","Order has total participation in PlacedBy, HandledBy, and HasOrderLine, but only partial participation in ShippedBy. This collectively models the order lifecycle: when an order is created, it must have a customer (PlacedBy, total), an employee handling it (HandledBy, total), and at least one line item (HasOrderLine, total). These three relationships are mandatory from creation. The shipper assignment (ShippedBy, partial) is deferred — an order exists without a shipper until it is ready for shipment. This means a valid order in the system always has a customer, an employee, and at least one order line, but may or may not have a shipper. The partial participation on ShippedBy with N:1 cardinality means an order can have at most one shipper, assigned when shipping occurs."
PCI-06,participation_constraint_inference,complex,"The Supplier entity has partial participation in SuppliedBy, yet the diagram note says 'a supplier may provide one or more products.' Is there a subtle inconsistency, or can both statements coexist? Explain.","There is no inconsistency — both statements can coexist. Partial participation of Supplier in SuppliedBy means a supplier is not required to participate in the relationship. The note saying 'a supplier may provide one or more products' uses 'may' to indicate possibility, not obligation. A supplier could exist in the system with zero products (e.g., a newly registered supplier whose products have not yet been entered, or a supplier whose products were all discontinued and removed). The partial participation correctly models this optionality. If the intent were that every supplier must supply at least one product, the participation would need to be total. The current design is more flexible and matches real-world scenarios where supplier records may precede product entries."
KAI-01,key_attribute_identification,simple,"What is the primary key of the Order entity according to the EER diagram?","The primary key of the Order entity is orderID, which is explicitly marked as the key attribute in the EER diagram. The orderID is defined as a unique numeric identifier (xsd:integer in the OWL ontology) that uniquely distinguishes each order instance. It is a single-attribute simple key, and the OWL ontology declares it as an owl:FunctionalProperty, confirming that each order has exactly one orderID value."
KAI-02,key_attribute_identification,simple,"What is the primary key of the Territory entity?","The primary key of the Territory entity is territoryID, marked as the key attribute in the EER diagram. According to the OWL ontology, territoryID is of type xsd:string (not integer), which is notable because it uses alphanumeric codes like '01581' and '98004' rather than sequential integers. It is declared as an owl:FunctionalProperty, ensuring each territory has exactly one territoryID. The territoryDescription attribute is not part of the key."
KAI-03,key_attribute_identification,moderate,"What is the primary key of OrderLine, and why is its identification mechanism different from other entities like Order or Product?","OrderLine is a weak entity and has no standalone primary key of its own. The diagram states its partial key is 'none — identified by combination of parent Order and referenced Product.' This means an order line is uniquely identified by the composite of the orderID from its parent Order (via HasOrderLine) and the productID from the referenced Product (via IncludesProduct). This differs from strong entities like Order (identified by orderID alone) or Product (identified by productID alone) because OrderLine is existence-dependent on Order and cannot be uniquely identified without referencing its owner entity and the product it includes."
KAI-04,key_attribute_identification,moderate,"Identify all candidate keys for the Employee entity. Could any combination of non-key attributes serve as an alternative key?","The primary key of Employee is employeeID, explicitly marked as the key attribute in the EER diagram. For candidate alternative keys, the combination of lastName and firstName might seem like a candidate, but it is not guaranteed to be unique — two employees could share the same full name. The combination of lastName, firstName, and birthDate would be more likely unique in practice but is not formally declared as a key. The extension attribute (internal telephone extension) could potentially be unique per employee but is not semantically a natural key. In the EER diagram, only employeeID is formally designated as the key, and the OWL ontology does not declare any HasKey axioms for alternative keys. Therefore, employeeID is the sole reliable candidate key."
KAI-05,key_attribute_identification,complex,"The EER diagram shows that several entities share attribute names like companyName (Customer, Supplier, Shipper), contactName (Customer, Supplier), and address (Customer, Supplier, Employee). How does the OWL ontology handle these shared attribute names, and what does this imply about key identification across entities?","The OWL ontology handles shared attribute names by defining single data properties with union domains. For example, nw:companyName has its domain defined as the union of Customer, Supplier, and Shipper. Similarly, nw:contactName is defined over the union of Customer and Supplier, and nw:address over Customer, Supplier, and Employee. This means these are the same OWL property applied across multiple classes, not separate properties per entity. For key identification, this is significant because companyName alone cannot serve as a key for any single entity — it spans three disjoint classes. Each entity relies on its own dedicated ID attribute (customerID, supplierID, shipperID) as its primary key. The pairwise disjointness axiom (owl:AllDisjointClasses) ensures no instance belongs to multiple classes, so even shared property values cannot cause cross-entity identification confusion."
OCL-01,ocl_synthesis,simple,"Formalize the following business rule as an OCL constraint: 'The freight charge on an order must be non-negative.'","context Order inv nonNegativeFreight: self.freight >= 0. This OCL invariant is applied to the Order class and checks that the freight attribute is greater than or equal to zero. The EER diagram note for Order states 'the freight charge must be non-negative,' and the OWL ontology defines freight as xsd:decimal. This constraint prevents negative shipping costs from being recorded in the system."
OCL-02,ocl_synthesis,simple,"Formalize the following business rule as an OCL constraint: 'The quantity on an order line must be a positive integer.'","context OrderLine inv positiveQuantity: self.quantity > 0. This OCL invariant is applied to the OrderLine class and ensures the quantity attribute is strictly greater than zero. The EER diagram note for OrderLine states 'the quantity must be a positive integer,' meaning zero or negative quantities are not allowed. This reflects the business rule that every line item must order at least one unit of the referenced product."
OCL-03,ocl_synthesis,moderate,"Formalize the following business rule as an OCL constraint: 'An employee cannot report to themselves.'","context Employee inv noSelfReport: self.reportsTo->notEmpty() implies self.reportsTo <> self. This OCL invariant is applied to the Employee class. It first checks whether the employee has a manager assigned (since ReportsTo has partial participation, some employees have no manager). If a manager exists, the constraint ensures it is not the same as the employee instance itself. The EER diagram explicitly states this rule, and the OWL ontology encodes it via owl:IrreflexiveProperty on nw:reportsTo."
OCL-04,ocl_synthesis,moderate,"Formalize the following business rule as an OCL constraint: 'The discount on an order line must be between 0 and 1 inclusive.'","context OrderLine inv validDiscount: self.discount >= 0 and self.discount <= 1. This OCL invariant is applied to the OrderLine class and constrains the discount attribute to the range [0, 1]. The EER diagram note for OrderLine states 'the discount must be a value between zero and one inclusive, representing a percentage.' A value of 0 means no discount, and 1 means a 100% discount. The OWL ontology declares discount as xsd:float, and this OCL constraint enforces the valid range."
OCL-05,ocl_synthesis,complex,"Formalize the following business rule as an OCL constraint: 'A discontinued product should not appear on any new order line.'","context OrderLine inv noDiscontinuedProduct: self.includesProduct.discontinued = false. This OCL invariant is applied to the OrderLine class and navigates to the associated Product via the includesProduct association. It checks that the referenced product's discontinued attribute is false. The EER diagram notes for both Product ('a discontinued product should not be included on any new order') and OrderLine ('a discontinued product should not appear on a new order line') state this rule. In practice, this constraint applies at insertion time for new order lines, as historical order lines referencing a product that was later discontinued should remain valid."
OCL-06,ocl_synthesis,complex,"Formalize the following business rule as an OCL constraint: 'If a product's units in stock falls below the reorder level and the product is not discontinued, the product needs reordering from its supplier.'","context Product inv needsReorder: (self.unitsInStock < self.reorderLevel and self.discontinued = false) implies self.needsReorder = true. This OCL invariant is applied to the Product class and captures the business rule from the EER diagram note: 'if the number of units in stock falls below the reorder level, the product is flagged as needing reorder from its supplier.' The constraint combines two conditions — low stock and active (non-discontinued) status — to derive the reorder flag. Note that needsReorder would be a derived attribute since its value is determined entirely by unitsInStock, reorderLevel, and discontinued. The OCL navigates only Product attributes without requiring cross-entity joins."
CVD-01,cardinality_violation_detection,simple,"Consider the following sample data: OrderLine OL-99 exists with quantity=5, unitPrice=12.00, discount=0.1, but it has no associated Order. Does this violate any constraint in the EER diagram?","Yes, this violates the total participation constraint of OrderLine in the HasOrderLine relationship. The EER diagram declares OrderLine as a weak entity with total participation in HasOrderLine, meaning every order line must belong to exactly one order. An order line with no associated order is an orphaned weak entity, which is explicitly forbidden. Additionally, OrderLine is identified by the combination of its parent Order and referenced Product, so without an Order, the order line cannot even be properly identified. The OWL ontology enforces this with owl:qualifiedCardinality 1 on the belongsToOrder property for OrderLine."
CVD-02,cardinality_violation_detection,moderate,"Consider the following sample data: Product P-42 has belongsToCategory links to both Category C-1 (Beverages) and Category C-3 (Confections). Does this violate any constraint in the EER diagram?","Yes, this violates the cardinality constraint of the BelongsToCategory relationship. The EER diagram specifies N:1 cardinality with total participation on Product, meaning each product belongs to exactly one category. Having P-42 linked to both C-1 and C-3 makes this a 1:2 mapping on the category side, violating the functional (N:1) constraint. The OWL ontology declares belongsToCategory as owl:FunctionalProperty and enforces owl:qualifiedCardinality 1 on the Product class for this property, both of which prohibit multiple category assignments. A product must belong to one and only one category."
CVD-03,cardinality_violation_detection,moderate,"Consider the following sample data: Order O-100 has orderDate=2024-01-15, requiredDate=2024-02-01, freight=25.00, and is linked to Customer C-5 via PlacedBy and Employee E-3 via HandledBy. However, O-100 has no order lines. Does this violate any constraint?","Yes, this violates the total participation constraint of Order in the HasOrderLine relationship. The EER diagram specifies that Order has total participation (cardinality 1) in HasOrderLine, with the note 'each order contains one or more order lines.' The OWL ontology enforces this with owl:minQualifiedCardinality 1 on hasOrderLine. An order with no order lines is an empty order, which is explicitly forbidden. While O-100 satisfies PlacedBy (linked to C-5) and HandledBy (linked to E-3), it fails the HasOrderLine constraint. Every valid order must contain at least one order line."
CVD-04,cardinality_violation_detection,complex,"Consider the following sample data: Employee E-7 has reportsTo = E-7 (i.e., the employee reports to themselves). Does this violate any constraint, and which specific formal mechanism in the ontology catches this?","Yes, this violates the irreflexivity constraint on the ReportsTo relationship. The EER diagram note explicitly states 'an employee cannot report to themselves,' and the OWL ontology formalizes this by declaring nw:reportsTo as owl:IrreflexiveProperty. This means for any employee e, the triple (e, reportsTo, e) is inconsistent. The N:1 cardinality alone would not catch this — it only says an employee reports to at most one other employee. It is specifically the irreflexive axiom that forbids self-loops. An OWL reasoner would flag this as an ontology inconsistency. In OCL terms, this would be expressed as: context Employee inv noSelfReport: self.reportsTo->notEmpty() implies self.reportsTo <> self."
CVD-05,cardinality_violation_detection,complex,"Consider the following sample data: Order O-200 is linked to Shipper S-1 via ShippedBy and also linked to Shipper S-2 via ShippedBy. The order has a shippedDate set. Does this violate any constraint?","Yes, this violates the cardinality constraint of the ShippedBy relationship. The EER diagram specifies N:1 cardinality from Order to Shipper, meaning each order can be shipped by at most one shipper. Having O-200 linked to both S-1 and S-2 violates the functional constraint on the order side. The OWL ontology declares shippedBy as owl:FunctionalProperty and enforces owl:maxQualifiedCardinality 1 on the ShippedBy property for Order. A functional property can map each order to at most one shipper. Even though ShippedBy has partial participation (allowing zero shippers for unshipped orders), once assigned, the shipper must be unique. Having two shippers would require the reasoner to infer S-1 = S-2, which contradicts their distinct identifiers."
WER-01,weak_entity_recognition,simple,"Is OrderLine a weak entity in this EER diagram? Justify your answer by referring to the diagram.","Yes, OrderLine is explicitly declared as a weak entity in the EER diagram. The diagram labels it as 'WEAK ENTITY OrderLine' and states its partial key is 'none — identified by combination of parent Order and referenced Product.' Its owner entity is Order, connected via the HasOrderLine relationship. OrderLine is existence-dependent on Order, meaning it cannot exist without its parent order. It has no standalone primary key — its identity is derived from the composite of the parent Order's orderID and the referenced Product's productID. This is the classic definition of a weak entity: an entity that cannot be uniquely identified by its own attributes alone and depends on a strong entity for identification."
WER-02,weak_entity_recognition,simple,"Is Category a weak entity? Justify your answer by referring to the EER diagram.","No, Category is not a weak entity. The EER diagram declares it as 'ENTITY Category' (not WEAK ENTITY), and it has its own primary key attribute categoryID explicitly marked as '(key).' Category can be uniquely identified by categoryID alone without depending on any other entity. It participates in the BelongsToCategory relationship with partial participation, meaning categories can exist independently of products. Category is a strong entity with full identification autonomy. Unlike OrderLine, which requires its parent Order for identification, Category stands on its own."
WER-03,weak_entity_recognition,moderate,"Could Territory be considered a weak entity with Region as its owner? Why or why not, based on the EER diagram?","Territory cannot be considered a weak entity despite having total participation in the InRegion relationship with Region. The EER diagram declares Territory as 'ENTITY Territory' (a strong entity) and assigns it its own primary key attribute territoryID. A weak entity, by definition, lacks a full key and depends on an owner entity for identification — like OrderLine, which has no standalone key and is identified via its parent Order and referenced Product. Territory, in contrast, is uniquely identified by territoryID alone without needing regionID. While Territory is existentially constrained to belong to a region (total participation), existential dependence alone does not make an entity weak — it must also lack an independent key. Territory has one, so it is a strong entity."
WER-04,weak_entity_recognition,moderate,"The EER diagram shows OrderLine identified by the combination of parent Order and referenced Product. What would happen if the same product appeared twice on the same order — say two separate line items for Product P-1 on Order O-50?","Since OrderLine is identified by the combination of its parent Order (via HasOrderLine) and referenced Product (via IncludesProduct), having two line items for the same Product P-1 on the same Order O-50 would create an identification conflict. The composite identifier (O-50, P-1) would be identical for both line items, violating the uniqueness requirement of entity identification. In the current EER design, this is not permitted — if a customer wants more of the same product, the quantity on the existing order line should be increased rather than creating a duplicate line. This is a direct consequence of the weak entity identification mechanism. To allow duplicate product entries per order, a partial key attribute (such as a line number) would need to be added to OrderLine."
WER-05,weak_entity_recognition,complex,"If OrderLine were redesigned as a strong entity with its own surrogate key (e.g., orderLineID), what constraints from the original EER diagram would need to change, and what would be gained or lost?","Promoting OrderLine to a strong entity with a surrogate orderLineID would require several changes. The WEAK ENTITY declaration would become ENTITY, and orderLineID would be marked as the primary key. The HasOrderLine relationship would change from an identifying relationship (owner-weak) to a regular binary relationship, though total participation on both sides should be retained. The IncludesProduct relationship would remain but would no longer serve an identification role. What would be gained: the ability to have multiple line items for the same product on a single order (the composite key restriction is removed), and simpler foreign key references from other potential entities. What would be lost: the semantic clarity that an order line is inherently dependent on its order, the natural composite identification that prevents duplicate product entries per order, and the automatic cascade semantics implied by the weak entity relationship. The existence-dependency would need to be enforced through application logic or explicit cascade rules rather than being structurally guaranteed."
TRD-01,ternary_relationship_decomposition,simple,"The EER diagram shows a chain of relationships: Employee --ServesTerritory--> Territory --InRegion--> Region. Is this a ternary relationship? Explain the structure.","This is not a ternary relationship. The EER diagram models this as two separate binary relationships: ServesTerritory (M:N between Employee and Territory) and InRegion (N:1 between Territory and Region). A ternary relationship would involve all three entities in a single relationship instance. Instead, the connection from Employee to Region is indirect — it must be derived by navigating through Territory. An employee's region coverage is determined by the territories they serve, and each territory belongs to exactly one region. This chain decomposition is preferred when the intermediate entity (Territory) has its own attributes and identity, as it does here with territoryID and territoryDescription."
TRD-02,ternary_relationship_decomposition,moderate,"If the EER diagram replaced the two binary relationships (ServesTerritory and InRegion) with a single ternary relationship 'RegionalAssignment' among Employee, Territory, and Region, what information would be lost or what new problems would arise?","Replacing ServesTerritory and InRegion with a single ternary RegionalAssignment would introduce several problems. First, the constraint that each territory belongs to exactly one region (N:1 in InRegion with total participation) would be harder to enforce — in a ternary relationship, the same territory could appear with different regions in different tuples, creating inconsistency. Second, the independent existence of the Territory-Region mapping would be lost; you could not record that Territory T belongs to Region R without also specifying an Employee. Third, the M:N nature of ServesTerritory and the N:1 nature of InRegion have different cardinality semantics that would be conflated. The current binary decomposition correctly separates the stable geographic fact (territory belongs to region) from the changeable staffing assignment (employee serves territory)."
TRD-03,ternary_relationship_decomposition,moderate,"If we added a ternary relationship 'SalesAssignment' among Employee, Territory, and Product to represent which employee sells which product in which territory, how would you decompose it into binary relationships?","A ternary SalesAssignment(Employee, Territory, Product) could be decomposed into binary relationships, but with an important caveat about information loss. One approach: create a new entity SalesAssignment with its own key, and link it via three binary relationships — AssignedEmployee (SalesAssignment N:1 Employee), AssignedTerritory (SalesAssignment N:1 Territory), and AssignedProduct (SalesAssignment N:1 Product). This reification preserves the ternary semantics by making each assignment triple an explicit entity. An alternative using only pairwise binary relationships (Employee-Territory, Employee-Product, Territory-Product) would lose information because knowing that Employee E sells Product P and serves Territory T does not mean E sells P specifically in T. The reification approach is preferred and mirrors how OrderLine already serves as a reification of the Order-Product relationship in the existing diagram."
TRD-04,ternary_relationship_decomposition,complex,"The existing diagram connects Employee to Region only indirectly through Employee --ServesTerritory--> Territory --InRegion--> Region. Suppose we added a direct EmployeeInRegion relationship. Would this be redundant, and what consistency issues could arise?","Adding a direct EmployeeInRegion relationship would be structurally redundant because an employee's region can already be derived by following ServesTerritory to Territory and then InRegion to Region. However, there is a subtlety: since ServesTerritory is M:N, an employee may serve territories in multiple regions, so the derived EmployeeInRegion would also be M:N. The consistency issue is that any direct EmployeeInRegion link must agree with the derived path. If Employee E serves Territory T1 in Region R1, then EmployeeInRegion must include (E, R1). Maintaining this synchronization requires additional constraints or triggers — if a territory assignment changes, the direct region link must be updated. This is a classic redundancy problem in conceptual modeling: the direct relationship provides faster query access but introduces an update anomaly risk. The current two-hop design avoids this by deriving region information on demand."
TRD-05,ternary_relationship_decomposition,complex,"Consider the relationships involving Order: PlacedBy (Order-Customer), HandledBy (Order-Employee), and ShippedBy (Order-Shipper). Could these three binary relationships be replaced by a single ternary or quaternary relationship? Discuss the trade-offs.","Replacing PlacedBy, HandledBy, and ShippedBy with a single quaternary relationship OrderFulfillment(Order, Customer, Employee, Shipper) would create significant problems. First, ShippedBy has partial participation — unshipped orders have no shipper — so the quaternary relationship would require null values or a special 'no shipper' placeholder, which violates the standard relational model. Second, the individual cardinality constraints differ: PlacedBy and HandledBy are mandatory (total on Order) while ShippedBy is optional (partial on Order). A quaternary relationship cannot elegantly express that three components are required but one is optional. Third, updating the shipper assignment (which happens later in the order lifecycle) would require modifying the entire relationship tuple rather than just the ShippedBy link. The current binary decomposition correctly separates concerns with distinct participation and cardinality constraints per relationship, and allows each to evolve independently during the order lifecycle."
DAI-01,derived_attribute_identification,simple,"Which attribute of Product could be considered derivable based on other attributes? Refer to the EER diagram notes.","The needsReorder status is a derivable attribute for Product. According to the EER diagram note: 'If the number of units in stock falls below the reorder level, the product is flagged as needing reorder from its supplier.' This means needsReorder can be derived from the expression: unitsInStock < reorderLevel AND discontinued = false. Since its value is fully determined by other stored attributes of the same entity, it does not need to be independently stored — it can be computed on demand. The diagram does not list needsReorder as an explicit attribute, but the note describes the derivation rule, suggesting it is an implicit derived attribute."
DAI-02,derived_attribute_identification,moderate,"Could a 'total order value' be considered a derived attribute for Order? What entities and attributes would the derivation depend on?","Yes, total order value could be a derived attribute for Order, but it requires cross-entity computation. The derivation would depend on all OrderLine instances linked to the order via HasOrderLine, and for each order line, the calculation would be: quantity * unitPrice * (1 - discount). The total order value would then be the sum of these line-level amounts plus the freight charge. This derivation spans two entities — Order (for freight) and OrderLine (for quantity, unitPrice, discount) — making it more complex than a single-entity derivation. In OCL: context Order inv: self.totalValue = self.orderLines->collect(ol | ol.quantity * ol.unitPrice * (1 - ol.discount))->sum() + self.freight. Since it depends on related entities through the HasOrderLine relationship, this is a cross-entity derived attribute."
DAI-03,derived_attribute_identification,moderate,"The Order entity has shippedDate as an attribute and ShippedBy as a relationship. Could a 'shipping status' attribute be derived? What would the derivation logic be?","Yes, a shipping status could be derived from the combination of the shippedDate attribute and the ShippedBy relationship. The derivation logic would be: if shippedDate is null and no shipper is assigned via ShippedBy, the order is 'pending'; if a shipper is assigned but shippedDate is null, the order could be 'assigned for shipping'; if both shippedDate is set and a shipper is assigned, the order is 'shipped.' The EER diagram note states that 'an order that has not yet been shipped will not have a shipped date or an assigned shipper,' which suggests shippedDate and ShippedBy participation are correlated. This derived attribute spans both an attribute (shippedDate) and a relationship (ShippedBy), making it a cross-construct derivation. Storing it explicitly would create redundancy and risk inconsistency."
DAI-04,derived_attribute_identification,complex,"Could a 'number of direct reports' attribute be derived for Employee from the ReportsTo relationship? What challenges arise from the self-referencing nature?","Yes, a 'number of direct reports' attribute could be derived for Employee by counting the number of employees whose reportsTo points to this employee — essentially counting instances of the inverse hasDirectReport relationship. In OCL: context Employee inv: self.numberOfDirectReports = Employee.allInstances()->select(e | e.reportsTo = self)->size(). The challenges from the self-referencing nature include: (1) the derivation requires querying other instances of the same entity class, not a different entity; (2) since ReportsTo has partial participation, employees with no direct reports would have a derived value of 0, and top-level executives who also have no one reporting to them would also be 0; (3) the derived value changes whenever any employee's reportsTo is updated, creating a potentially wide update propagation in a materialized view. Furthermore, extending this to count indirect reports (all subordinates at any depth) would require transitive closure, which standard EER notation cannot express."
